dt,open,high,low,close,volume
2024-02-26,45.632795,45.786751,45.348236,45.478761,52065487.24
2024-02-27,44.806666,45.067484,44.363924,44.674618,72363056.56
2024-02-28,45.559292,45.599236,45.354418,45.461544,52015634.58
2024-02-29,46.353331,46.736249,46.163995,46.33969,72918751.37
2024-03-01,44.886035,45.348543,44.837676,44.980382,73737408.98
2024-03-04,43.656499,44.025221,43.461642,43.799279,104556614.2
2024-03-05,44.173169,44.507276,43.917431,43.946422,59678821.07
2024-03-06,43.899997,44.003256,43.329304,43.766107,62698927.71
2024-03-07,43.81464,43.96663,43.54944,43.936485,100673166.61
2024-03-08,43.252869,43.350742,43.223227,43.245979,83689282.29
2024-03-11,43.504625,43.680158,43.29854,43.556914,81097236.62
2024-03-12,43.842087,44.287554,43.660515,44.040836,70583836.87
2024-03-13,44.187065,44.445699,43.950815,44.155688,57416697.63
2024-03-14,45.053014,45.321595,44.805728,45.128015,63106519.49
2024-03-15,45.710841,46.058939,45.5311,45.885672,79645795.99
2024-03-18,45.110397,46.127674,45.028319,45.378882,53991738.42
2024-03-19,45.480089,45.944515,45.224556,45.766368,58093337.39
2024-03-20,45.003636,45.350827,44.955518,45.070598,51432420.57
2024-03-21,46.037378,46.182132,45.754687,46.053054,62552756.33
2024-03-22,45.820615,46.365871,45.704238,45.981606,61476384.07
2024-03-25,46.003285,46.007912,45.804571,45.883851,58237602.35
2024-03-26,45.204477,45.486481,45.103035,45.216332,53705830.36
2024-03-27,46.648562,46.691608,46.476261,46.541166,92632106.13
2024-03-28,46.532085,47.009678,46.19905,46.566155,58776976.33
2024-03-29,46.018266,46.457795,46.003296,46.163611,73022910.96
2024-04-01,45.955767,45.958032,45.788403,45.934799,71425703.53
2024-04-02,46.305152,46.728187,46.292272,46.540213,60503145.8
2024-04-03,46.973688,47.027354,46.837505,46.872548,64459626.93
2024-04-04,47.016061,47.519228,46.529893,47.192968,57909065.27
2024-04-05,47.682429,47.806033,47.165385,47.507935,63770291.96
2024-04-08,49.416154,50.097539,49.392611,49.483145,50997376.88
2024-04-09,49.351819,49.980225,49.079722,49.142955,98146514.43
2024-04-10,48.476973,48.778054,48.272826,48.69564,78559595.38
2024-04-11,47.698245,47.986489,47.648742,47.82791,73544906.66
2024-04-12,48.519717,48.866634,48.355964,48.445898,65285723.85
2024-04-15,49.697283,50.051286,49.213228,49.465685,85267216.35
2024-04-16,49.715559,50.10692,49.164321,49.386329,78739385.95
2024-04-17,48.790417,49.158225,48.457672,48.782346,77405662.36
2024-04-18,48.66014,48.740134,48.021891,48.305051,69824886.24
2024-04-19,49.024491,49.148063,48.998379,49.08136,61286782.38
2024-04-22,50.141222,50.144568,49.626178,49.921812,61227848.88
2024-04-23,50.247737,51.159904,49.844836,50.437824,74664403.31
2024-04-24,49.905255,49.962315,49.384098,49.821514,73071532.63
2024-04-25,49.433725,50.126605,49.355497,49.901137,60250897.55
2024-04-26,49.745245,50.244679,49.533691,49.969426,51950641.45
2024-04-29,50.344548,50.645115,50.019356,50.250745,53727320.09
2024-04-30,50.685521,51.129314,50.261049,50.953012,67080641.22
2024-05-01,51.3475,51.469334,51.036033,51.259958,118718552.32
2024-05-02,51.951092,52.417825,51.351052,51.763406,58386414.17
2024-05-03,51.465316,51.751478,50.844703,51.568725,64703928.76
2024-05-06,51.887851,52.286452,51.556083,52.089741,75930166.61
2024-05-07,52.560716,53.054036,52.40003,52.6606,56505078.27
2024-05-08,51.044063,51.893272,50.728726,51.242024,68804997.72
2024-05-09,50.797135,51.333781,50.643276,50.817708,59350995.84
2024-05-10,50.589966,50.707884,50.484887,50.569315,59040432.72
2024-05-13,50.302867,50.588819,50.203269,50.364515,59263364.09
2024-05-14,50.460643,50.512872,49.901355,50.124934,89699100.28
2024-05-15,51.3555,51.507849,51.18096,51.503708,64708946.38
2024-05-16,51.312711,51.38478,50.686978,51.028699,52388621.36
2024-05-17,51.403228,51.936474,51.284234,51.618216,62783253.32
2024-05-20,50.60757,50.942009,50.430928,50.592842,67841097.88
2024-05-21,51.11614,51.435448,50.83078,50.875376,75551530.43
2024-05-22,50.785956,51.098054,50.149675,50.557164,58569929.58
2024-05-23,51.061777,51.258337,50.984515,51.147758,71018254.02
2024-05-24,51.845326,52.227506,51.508561,51.73047,63302163.44
2024-05-27,52.579199,52.594523,52.299932,52.490767,68361639.21
2024-05-28,52.05759,52.222067,51.81135,52.170265,68094583.0
2024-05-29,52.131513,52.377526,51.638865,52.003387,80257733.5
2024-05-30,53.253728,53.532916,52.854924,52.859923,83368719.84
2024-05-31,52.678448,52.697254,52.402249,52.579241,68143662.31
2024-06-03,51.57979,51.908657,51.338094,51.463204,66462819.39
2024-06-04,50.772348,50.831767,50.480603,50.636206,103027289.6
2024-06-05,49.381461,49.678949,49.293219,49.671738,59840123.48
2024-06-06,49.955216,50.1239,49.413947,49.863423,71196088.5
2024-06-07,50.268396,50.475808,50.206522,50.473674,61527504.95
2024-06-10,50.925252,51.263834,50.426241,51.045696,58603800.0
2024-06-11,51.159555,51.285817,50.659093,50.720932,71482746.94
2024-06-12,50.815974,51.025727,50.19278,50.867505,60430942.39
2024-06-13,51.477688,51.882326,51.080057,51.630551,59851370.04
2024-06-14,52.04176,52.278774,51.793692,51.802931,63656825.49
2024-06-17,52.231946,52.613125,52.161015,52.430696,64753563.56
2024-06-18,51.504238,51.860242,51.474607,51.596579,55420095.7
2024-06-19,51.326101,51.344879,51.011416,51.07094,55662086.31
2024-06-20,50.742243,51.205302,50.386555,50.733564,87482638.0
2024-06-21,49.396942,50.051628,49.371814,49.707434,57883702.86
2024-06-24,49.983728,50.426437,49.49298,49.875201,56883004.32
2024-06-25,49.632169,49.8948,49.597132,49.711003,61537659.33
2024-06-26,49.895356,50.30987,49.485733,49.589912,61791915.52
2024-06-27,50.273625,50.813927,50.071772,50.395822,84087410.75
2024-06-28,51.466564,51.658499,50.692293,51.251058,81427324.96
2024-07-01,52.259319,52.260629,51.804887,51.89075,74139965.59
2024-07-02,51.802583,52.129111,51.164168,51.97951,53673936.7
2024-07-03,51.386994,51.546141,51.24571,51.42674,71523473.11
2024-07-04,51.649976,51.83506,51.357318,51.569811,85733290.54
2024-07-05,49.8739,50.541086,49.750303,50.045525,60981536.03
2024-07-08,48.709889,48.924848,48.58595,48.657282,77337814.19
2024-07-09,47.520018,47.940115,47.239276,47.562809,55285541.88
2024-07-10,46.681239,46.950227,46.118629,46.727044,71515389.87
2024-07-11,47.084353,47.145305,46.654866,47.075138,58937648.03
2024-07-12,46.598988,47.169016,46.360631,46.585708,50950339.44
2024-07-15,46.239699,46.385689,46.199662,46.209408,79104567.93
2024-07-16,47.573613,47.929899,47.51375,47.68784,59158018.61
2024-07-17,47.113958,47.525416,46.900953,47.218816,65201837.12
2024-07-18,48.204216,48.377948,47.78537,48.227093,53178305.72
2024-07-19,47.31989,47.53933,46.99997,47.328363,66550980.23
2024-07-22,47.154034,47.447073,47.139945,47.236954,58409640.25
2024-07-23,46.501137,46.661536,46.359598,46.440961,60306803.08
2024-07-24,45.843844,46.569904,45.439655,46.17906,77343194.01
2024-07-25,46.959319,47.415805,46.948803,47.09693,53502988.35
2024-07-26,45.98763,46.739832,45.899767,46.039181,52351465.16
2024-07-29,46.532775,46.859474,46.20532,46.692673,60893547.94
2024-07-30,47.197179,47.271324,46.787447,46.891596,66626941.02
2024-07-31,46.519911,46.56517,46.426824,46.516401,59548992.08
2024-08-01,45.314151,45.774029,45.114597,45.282133,56063867.07
2024-08-02,45.148973,45.534457,44.897944,45.236412,68666600.42
2024-08-05,44.684266,44.815238,44.174087,44.687086,67461255.53
2024-08-06,44.649496,45.048592,44.117506,44.867598,76410439.87
2024-08-07,44.974961,45.037351,44.974074,45.005532,113905733.69
2024-08-08,45.844759,46.178331,45.818318,46.017233,51402819.03
2024-08-09,45.841701,46.517575,45.730521,45.892624,66430928.79
2024-08-12,44.958912,45.429494,44.813522,45.424039,57955089.52
2024-08-13,45.642926,46.156647,45.391546,45.849801,89424547.88
2024-08-14,46.266918,46.49732,45.995551,45.99757,62943571.02
2024-08-15,47.08363,47.556805,46.803421,46.927755,59405398.12
2024-08-16,48.042948,48.144502,47.346035,47.790796,70596722.93
2024-08-19,47.993536,48.453618,47.635751,47.7286,58185134.97
2024-08-20,49.407409,49.411759,49.259039,49.274764,61140451.9
2024-08-21,48.207223,48.520859,47.491225,48.294708,50656166.2
2024-08-22,47.986342,48.751281,47.930267,48.186267,61903160.13
2024-08-23,47.37627,47.869748,47.002578,47.159948,69055940.46
2024-08-26,47.10135,47.253269,46.906583,47.089188,51849848.23
2024-08-27,46.480128,46.936829,45.819059,46.021018,66280205.9
2024-08-28,46.487233,46.806109,46.406488,46.555222,59160777.25
2024-08-29,46.562514,46.766071,46.144209,46.197939,62739107.26
2024-08-30,45.172619,45.496627,45.145425,45.200968,70425071.67
2024-09-02,44.833935,45.031221,44.441487,44.595607,53561331.93
2024-09-03,45.546968,45.694786,45.151577,45.239936,57717681.97
2024-09-04,45.986587,46.271065,45.426844,46.175528,52067235.67
2024-09-05,47.701435,47.96427,47.354927,47.794155,70185650.58
2024-09-06,49.984748,50.423568,49.8936,50.192137,87038887.04
2024-09-09,50.120626,50.395548,49.863258,50.368427,60414852.32
2024-09-10,50.00849,50.167102,49.615306,49.875409,69282628.47
2024-09-11,47.932369,48.184706,47.857448,47.970098,85843499.15
2024-09-12,48.574877,48.633333,48.288512,48.564704,57378523.22
2024-09-13,48.163359,48.204584,47.627627,48.056435,71663658.3
2024-09-16,47.494532,48.264981,47.274861,47.850037,61918220.94
2024-09-17,47.602814,47.773948,47.22164,47.359054,58333403.57
2024-09-18,47.380556,47.458816,46.760428,47.44681,68869927.4
2024-09-19,48.527105,48.647535,48.396013,48.423981,51619561.59
2024-09-20,48.688782,49.062059,48.03685,48.568194,54955701.18
2024-09-23,48.916543,49.335611,48.589406,48.649787,51916150.22
2024-09-24,47.804082,48.295888,47.733471,47.824141,53602692.6
2024-09-25,45.971354,46.371402,45.887091,46.365205,71653034.48
2024-09-26,46.168815,46.256772,45.897227,46.158268,58453765.83
2024-09-27,46.217688,46.327237,45.804395,46.180613,59417089.89
2024-09-30,47.616159,48.292223,47.320462,47.813967,54016442.51
2024-10-01,47.945813,47.985976,47.816213,47.917544,52219872.9
2024-10-02,48.530032,48.697826,48.263579,48.600214,83584989.75
2024-10-03,48.331409,48.789556,48.293842,48.5924,62487575.69
2024-10-04,48.094481,48.151626,47.823654,47.965648,75628701.95
2024-10-07,47.297774,48.028286,47.011279,47.404667,64680489.38
2024-10-08,46.733681,47.24276,46.42427,46.809771,72179011.46
2024-10-09,48.530198,49.218777,48.39927,48.62016,74667351.0
2024-10-10,48.507936,48.825916,48.207888,48.269393,55861024.07
2024-10-11,48.992273,49.419848,48.637038,49.000293,83219261.08
2024-10-14,48.202331,48.472482,47.928181,48.187085,59380717.73
2024-10-15,49.348041,49.489291,49.311277,49.435173,67545448.82
2024-10-16,49.938031,50.125361,49.83635,49.845743,57483131.89
2024-10-17,50.416538,50.664646,49.854977,50.145887,72655246.12
2024-10-18,50.043874,50.521958,49.700098,49.914523,68461294.04
